CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup_vs_seq
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-pad,4096,1,1,1,-,20.29,6.77,0.97
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-pad,4100,1,1,1,-,25.95,5.31,0.73
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-pad,8192,1,1,1,-,149.95,7.33,1.14
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-pad,8200,1,1,1,-,171.44,6.43,0.89
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-pad,12288,1,1,1,-,541.2,6.86,1.05
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-pad,12300,1,1,1,-,623.58,5.97,0.92
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-pad,16400,1,1,1,-,1291.68,6.83,1.05
12th Gen Intel(R) Core(TM) i9-12900K,gcc,seq-pad,16384,1,1,1,-,1344.24,6.54,1.01
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-pad,4096,1,1,1,-,20.02,6.87,0.98
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-pad,4100,1,1,1,-,25.42,5.42,0.75
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-pad,8192,1,1,1,-,166.69,6.6,1.02
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-pad,8200,1,1,1,-,192.8,5.72,0.79
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-pad,12288,1,1,1,-,557.81,6.65,1.02
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-pad,12300,1,1,1,-,604.46,6.16,0.95
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-pad,16400,1,1,1,-,1406.33,6.27,0.97
12th Gen Intel(R) Core(TM) i9-12900K,icc,seq-pad,16384,1,1,1,-,1324.67,6.64,1.03
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,4096,1,1,1,-,4.41,31.18,4.47
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,4100,1,1,1,-,2.96,46.63,6.41
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,8192,1,1,1,-,38.83,28.32,4.38
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,8200,1,1,1,-,19.89,55.45,7.68
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,12288,1,1,1,-,123.44,30.06,4.61
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,12300,1,1,1,-,64.96,57.29,8.81
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,16384,1,1,1,-,318.1,27.65,4.28
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,16400,1,1,1,-,167.62,52.63,8.1
